timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/09 16:51:51.845, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:51.848, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:51.851, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:51.854, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:51.857, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/09 16:51:51.861, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/09 16:51:51.864, A100-SXM4-40GB, P0, 57, 82 %, 66 %, 40537 MiB, 351 MiB, 40186 MiB
2023/12/09 16:51:51.868, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/09 16:51:53.499, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:53.505, A100-SXM4-40GB, P0, 28, 40 %, 1 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:53.511, A100-SXM4-40GB, P0, 30, 42 %, 24 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:53.514, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:53.518, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/09 16:51:53.522, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/09 16:51:53.525, A100-SXM4-40GB, P0, 56, 80 %, 31 %, 40537 MiB, 391 MiB, 40146 MiB
2023/12/09 16:51:53.529, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/09 16:51:53.880, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:53.886, A100-SXM4-40GB, P0, 29, 45 %, 15 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:53.891, A100-SXM4-40GB, P0, 30, 42 %, 25 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:53.975, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:53.986, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/09 16:51:53.990, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/09 16:51:53.998, A100-SXM4-40GB, P0, 58, 100 %, 84 %, 40537 MiB, 391 MiB, 40146 MiB
2023/12/09 16:51:54.080, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/09 16:51:54.468, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:54.473, A100-SXM4-40GB, P0, 30, 41 %, 24 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:54.478, A100-SXM4-40GB, P0, 30, 31 %, 18 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:54.482, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
2023/12/09 16:51:54.487, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/09 16:51:54.491, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/09 16:51:54.496, A100-SXM4-40GB, P0, 57, 89 %, 69 %, 40537 MiB, 411 MiB, 40126 MiB
2023/12/09 16:51:54.500, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/09 16:51:54.779, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34441 MiB, 6096 MiB
