timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/04 14:45:36.518, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:45:36.520, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:36.521, A100-SXM4-40GB, P0, 49, 65 %, 8 %, 40537 MiB, 36807 MiB, 3730 MiB
2023/12/04 14:45:36.523, A100-SXM4-40GB, P0, 40, 95 %, 30 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:36.546, A100-SXM4-40GB, P0, 45, 55 %, 26 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:45:36.548, A100-SXM4-40GB, P0, 57, 78 %, 12 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:45:36.550, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:45:36.552, A100-SXM4-40GB, P0, 42, 70 %, 24 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:45:37.554, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:45:37.555, A100-SXM4-40GB, P0, 38, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:37.556, A100-SXM4-40GB, P0, 49, 90 %, 6 %, 40537 MiB, 35829 MiB, 4708 MiB
2023/12/04 14:45:37.557, A100-SXM4-40GB, P0, 37, 24 %, 14 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:37.559, A100-SXM4-40GB, P0, 46, 63 %, 30 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:45:37.560, A100-SXM4-40GB, P0, 57, 82 %, 14 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:45:37.561, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:45:37.562, A100-SXM4-40GB, P0, 42, 65 %, 24 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:45:38.563, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:45:38.573, A100-SXM4-40GB, P0, 40, 10 %, 7 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:38.576, A100-SXM4-40GB, P0, 48, 96 %, 10 %, 40537 MiB, 36709 MiB, 3828 MiB
2023/12/04 14:45:38.579, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:38.583, A100-SXM4-40GB, P0, 45, 62 %, 30 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:45:38.588, A100-SXM4-40GB, P0, 58, 85 %, 12 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:45:38.589, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:45:38.591, A100-SXM4-40GB, P0, 42, 70 %, 22 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:45:39.592, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:45:39.593, A100-SXM4-40GB, P0, 40, 7 %, 5 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:39.594, A100-SXM4-40GB, P0, 48, 62 %, 3 %, 40537 MiB, 35805 MiB, 4732 MiB
2023/12/04 14:45:39.595, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:39.596, A100-SXM4-40GB, P0, 45, 60 %, 27 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:45:39.597, A100-SXM4-40GB, P0, 57, 84 %, 12 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:45:39.598, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:45:39.599, A100-SXM4-40GB, P0, 42, 66 %, 24 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:45:40.600, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:45:40.602, A100-SXM4-40GB, P0, 40, 20 %, 7 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:40.605, A100-SXM4-40GB, P0, 51, 96 %, 8 %, 40537 MiB, 36753 MiB, 3784 MiB
2023/12/04 14:45:40.606, A100-SXM4-40GB, P0, 42, 49 %, 21 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:40.607, A100-SXM4-40GB, P0, 45, 58 %, 28 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:45:40.608, A100-SXM4-40GB, P0, 57, 81 %, 14 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:45:40.609, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:45:40.610, A100-SXM4-40GB, P0, 43, 69 %, 23 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:45:41.616, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:45:41.622, A100-SXM4-40GB, P0, 41, 21 %, 7 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:41.623, A100-SXM4-40GB, P0, 48, 81 %, 7 %, 40537 MiB, 35851 MiB, 4686 MiB
2023/12/04 14:45:41.624, A100-SXM4-40GB, P0, 40, 98 %, 33 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:45:41.626, A100-SXM4-40GB, P0, 45, 61 %, 29 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:45:41.628, A100-SXM4-40GB, P0, 57, 75 %, 13 %, 40537 MiB, 35895 MiB, 4642 MiB
