timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 14:29:12.729, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:12.733, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:12.737, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:12.740, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:12.745, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:12.748, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:12.752, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:12.757, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 14:29:13.021, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:13.024, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:13.028, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:13.031, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:13.034, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:13.038, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:13.041, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:13.044, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 14:29:13.296, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:13.299, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:13.303, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:13.307, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:13.310, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:13.314, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:13.317, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:13.320, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 14:29:14.679, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:14.682, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:14.684, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:14.687, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:14.689, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:14.691, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:14.693, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:14.695, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 14:29:14.957, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:14.960, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:14.965, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:14.968, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:14.971, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:14.975, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:14.978, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:14.982, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 14:29:15.375, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:15.382, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:15.385, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:15.389, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:15.394, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:15.397, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:15.402, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:15.406, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 14:29:15.706, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:15.709, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:15.713, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:15.718, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/10 14:29:15.732, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:15.735, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:15.738, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
2023/12/10 14:29:15.742, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40537 MiB, 0 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
