cpu_usage,cpu_core_count,cpu_thread_count,disk_utilization,memory_usage_bytes,memory_utilization,percent_disk_reads,percent_disk_writes,percent_disk_read_bytes,percent_disk_write_bytes,average_cpu_utilization_by_threads
0.5,128,256,15.2,43111546880,4.5,0.0,100.0,0.0,100.0,1.2175781250000002
0.6,128,256,15.2,43128180736,4.5,0.0,100.0,0.0,100.0,0.810546875
1.1,128,256,15.2,43130085376,4.5,0.0,100.0,0.0,100.0,2.752734375
0.8,128,256,15.2,43102248960,4.5,0.0,100.0,0.0,100.0,1.084375
0.5,128,256,15.2,43097350144,4.5,0.0,100.0,0.0,100.0,0.776171875
0.6,128,256,15.2,43111247872,4.5,0.0,100.0,0.0,100.0,0.90390625
1.5,128,256,15.2,43076050944,4.5,0.0,100.0,0.0,100.0,1.170703125
2.9,128,256,15.2,43341594624,4.5,0.0,100.0,0.0,100.0,1.042578125
1.7,128,256,15.2,43667587072,4.5,0.0,100.0,0.0,100.0,1.6453124999999997
1.4,128,256,15.2,44103098368,4.6,0.0,100.0,0.0,100.0,1.1265625000000001
2.9,128,256,15.2,44184838144,4.6,0.0,100.0,0.0,100.0,6.676953125000002
0.9,128,256,15.2,45565972480,4.7,0.0,100.0,0.0,100.0,0.99765625
2.8,128,256,15.2,46192431104,4.8,0.0,100.0,0.0,100.0,1.5914062500000001
3.3,128,256,15.2,48037265408,5.0,9.408926417370326,90.59107358262968,3.506691512790107,96.4933084872099,1.916015625
1.6,128,256,15.2,48143667200,5.0,0.0,100.0,0.0,100.0,3.4843750000000004
2.7,128,256,15.2,49679876096,5.1,0.0,100.0,0.0,100.0,1.6421875
4.6,128,256,15.2,54878613504,5.6,0.0,100.0,0.0,100.0,1.36328125
1.4,128,256,15.2,56508280832,5.8,0.0,100.0,0.0,100.0,1.194140625
1.3,128,256,15.2,54857965568,5.6,0.0,100.0,0.0,100.0,2.9054687500000003
4.5,128,256,15.2,59695042560,6.1,0.0,100.0,0.0,100.0,4.431640625
2.8,128,256,15.2,59572252672,6.1,0.0,100.0,0.0,100.0,0.8914062500000001
0.7,128,256,15.2,57404432384,5.9,0.0,100.0,0.0,100.0,1.972265625
7.0,128,256,15.2,56039424000,5.8,10.441767068273093,89.5582329317269,3.6721660457690266,96.32783395423098,0.6664062500000001
23.4,128,256,15.2,57942724608,5.9,0.0,100.0,0.0,100.0,3.7117187499999997
20.6,128,256,15.2,66585481216,6.7,0.0,100.0,0.0,100.0,19.657812500000002
4.8,128,256,15.2,58161008640,5.9,0.0,100.0,0.0,100.0,0.521875
1.1,128,256,15.2,45789728768,4.8,12.168486739469579,87.83151326053043,5.165959570751186,94.83404042924882,3.519140625
0.7,128,256,15.2,45418045440,4.7,0.0,100.0,0.0,100.0,15.254687500000005
6.8,128,256,15.2,49978773504,5.1,0.0,100.0,0.0,100.0,1.62265625
1.3,128,256,15.2,57165152256,5.8,0.0,100.0,0.0,100.0,2.0890625000000007
1.0,128,256,15.2,59779391488,6.1,11.304347826086957,88.69565217391305,4.644379627552165,95.35562037244783,4.997265625
5.6,128,256,15.2,52533547008,5.4,0.0,100.0,0.0,100.0,0.9320312500000001
1.1,128,256,15.2,47656411136,4.9,0.0,100.0,0.0,100.0,1.035546875
0.7,128,256,15.2,43388706816,4.5,0.0,100.0,0.0,100.0,0.762109375
2.1,128,256,15.2,43405283328,4.5,11.001410437235542,88.99858956276445,4.369854338188727,95.63014566181127,1.3843750000000001
1.1,128,256,15.2,43341320192,4.5,0.0,100.0,0.0,100.0,0.6261718749999999
1.1,128,256,15.2,43363033088,4.5,0.0,100.0,0.0,100.0,1.733203125
0.9,128,256,15.2,43318751232,4.5,0.0,100.0,0.0,100.0,1.717578125
2.9,128,256,15.2,43334795264,4.5,53.9076376554174,46.0923623445826,40.83336050340713,59.16663949659288,0.8125
1.1,128,256,15.2,43344502784,4.5,0.0,100.0,0.0,100.0,1.569140625
0.6,128,256,15.2,43319656448,4.5,0.0,100.0,0.0,100.0,1.234375
1.0,128,256,15.2,43293982720,4.5,0.0,100.0,0.0,100.0,1.111328125
1.5,128,256,15.2,43325341696,4.5,14.391143911439114,85.60885608856088,6.4485981308411215,93.55140186915888,1.534765625
1.3,128,256,15.2,43333857280,4.5,0.0,100.0,0.0,100.0,2.033984375
