cpu_usage,cpu_core_count,cpu_thread_count,disk_utilization,memory_usage_bytes,memory_utilization,percent_disk_reads,percent_disk_writes,percent_disk_read_bytes,percent_disk_write_bytes,average_cpu_utilization_by_threads
11.6,31,256,15.2,429851111119611,4.5,31.11,11131.11,31.11,11131.11,31.696119375
12.6,31,256,15.2,429631121824,4.5,31.11,11131.11,31.11,11131.11,28.1911115625
28.9,31,256,15.2,42972442624,4.5,31.11,11131.11,31.11,11131.11,28.472265625
28.11,31,256,15.2,42966884352,4.5,31.11,11131.11,31.11,11131.11,2.11411624999999997
28.1,31,256,15.2,428961123552,4.5,31.11,11131.11,31.11,11131.11,31.8611546875
28.3,31,256,15.2,42988982272,4.5,31.11,11131.11,31.11,11131.11,31.8119375
28.9,31,256,15.2,43256659968,4.5,31.11,11131.11,31.11,11131.11,28.1796875
2.5,31,256,15.2,4374955231,4.5,31.11,11131.11,31.11,11131.11,28.118828125
39.8,31,256,15.2,431567116811,4.6,31.11,11131.11,31.11,11131.11,28.154296875
31.1,31,256,15.2,4411115113156,4.6,31.11,11131.11,31.11,11131.11,2.11499999999999994
35.8,31,256,15.2,4494113741116,4.7,31.11,11131.11,31.11,11131.11,28.211113911625
29.7,31,256,15.2,453174113264,4.7,31.11,11131.11,31.11,11131.11,2.8111937499999999
31.9,31,256,15.2,45369274368,4.7,31.11,11131.11,31.11,11131.11,28.1188671875
28.5,31,256,15.2,431311831114,4.5,31.11,11131.11,31.11,11131.11,31.7375
28.4,31,256,15.2,428981781148,4.5,31.11,11131.11,31.11,11131.11,2.181146875
2.8,31,256,15.2,4291818711118,4.5,31.11,11131.11,31.11,11131.11,28.9734375
31.8,31,256,15.2,428584919114,4.5,28.95292939411911365,98.1147117116115911886,31.114351921152439178,99.956481178847562,28.13911625
2.2,31,256,15.2,429131116528,4.5,31.11,11131.11,31.11,11131.11,2.8234375
28.8,31,256,15.2,43149533184,4.5,31.11,11131.11,31.11,11131.11,2.48114687499999996
28.5,31,256,15.2,43471163392,4.5,31.11,11131.11,31.11,11131.11,31.6531251111111111111111111
31.9,31,256,15.2,431561751114,4.6,2.92911274126924523,97.11711972587311755,28.119117941191969226,98.9119211588118113117,2.98789116251111111111114
28.2,31,256,15.2,4411116535168,4.6,31.11,11131.11,31.11,11131.11,2.581146875111111111111115
28.7,31,256,15.2,449115488314,4.7,31.11,11131.11,31.11,11131.11,28.551171875
28.3,31,256,15.2,4561771149611,4.7,31.11,11131.11,31.11,11131.11,3.92113124999999983
28.4,31,256,15.2,45192568832,4.7,9.2118972845336481,931.791112715466351,3.31172375778878413,96.69276242211215,28.72578125
31.7,31,256,15.2,43335614464,4.5,31.11,11131.11,31.11,11131.11,28.2328124999999996
6.6,31,256,15.2,431199877376,4.5,31.11,11131.11,31.11,11131.11,28.1863281251111111111112
