timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 19:26:24.721, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 26918 MiB, 13619 MiB
2023/12/08 19:26:24.724, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 19:26:24.732, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 19:26:24.741, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 37298 MiB, 3239 MiB
2023/12/08 19:26:24.742, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 937 MiB, 39600 MiB
2023/12/08 19:26:24.744, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 19:26:24.746, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 23539 MiB, 16998 MiB
2023/12/08 19:26:24.748, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 19:26:28.029, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 26918 MiB, 13619 MiB
2023/12/08 19:26:28.036, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 19:26:28.038, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 19:26:28.039, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 37298 MiB, 3239 MiB
2023/12/08 19:26:28.041, A100-SXM4-40GB, P0, 37, 4 %, 0 %, 40537 MiB, 803 MiB, 39734 MiB
2023/12/08 19:26:28.043, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 19:26:28.045, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 23539 MiB, 16998 MiB
2023/12/08 19:26:28.047, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 19:26:31.327, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 26918 MiB, 13619 MiB
2023/12/08 19:26:31.329, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 19:26:31.331, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 19:26:31.333, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 37298 MiB, 3239 MiB
2023/12/08 19:26:31.334, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 803 MiB, 39734 MiB
2023/12/08 19:26:31.336, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 19:26:31.338, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 23539 MiB, 16998 MiB
2023/12/08 19:26:31.339, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 19:26:34.618, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 26918 MiB, 13619 MiB
2023/12/08 19:26:34.619, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 19:26:34.621, A100-SXM4-40GB, P0, 39, 39 %, 16 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 19:26:34.623, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 37298 MiB, 3239 MiB
2023/12/08 19:26:34.625, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 803 MiB, 39734 MiB
2023/12/08 19:26:34.628, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 19:26:34.639, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 23539 MiB, 16998 MiB
