timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 19:46:21.259, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 19:46:21.260, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 19:46:21.505, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 19:46:21.506, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 19:46:21.758, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 19:46:21.760, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 19:46:21.986, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 19:46:21.987, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 19:46:22.200, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 19:46:22.202, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 19:46:22.439, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 19:46:22.440, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 19:46:22.740, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 19:46:22.741, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 19:46:22.977, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 19:46:22.978, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:40.530, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:40.532, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:40.750, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:40.751, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:41.278, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:41.279, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:41.523, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:41.524, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:41.754, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:41.755, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:41.971, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:41.973, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:42.197, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:42.198, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:42.423, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:42.424, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:42.632, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:42.634, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:42.857, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:42.858, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:43.108, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:43.109, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:43.381, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:43.383, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:43.629, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:43.630, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:43.866, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:43.867, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:44.110, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:44.111, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:44.324, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:44.325, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:44.563, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:44.564, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:44.797, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:44.798, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:45.033, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:45.034, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:45.251, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:45.253, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:45.502, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:45.504, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:45.735, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:45.736, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:45.965, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:45.966, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:46.175, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:46.176, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:46.387, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:46.388, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
