cpu_usage,cpu_core_count,cpu_thread_count,disk_utilization,memory_usage_bytes,memory_utilization,percent_disk_reads,percent_disk_writes,percent_disk_read_bytes,percent_disk_write_bytes,average_cpu_utilization_by_threads
22.0,8,16,8.2,10996662272,17.2,0.0,100.0,0.0,100.0,15.956249999999997
16.0,8,16,8.2,11002740736,17.2,0.0,100.0,0.0,100.0,15.0625
21.3,8,16,8.2,11001397248,17.2,0.0,100.0,0.0,100.0,19.618750000000002
16.3,8,16,8.2,10987216896,17.2,0.0,100.0,0.0,100.0,16.6625
14.1,8,16,8.2,10991075328,17.2,0.0,100.0,0.0,100.0,17.5875
14.9,8,16,8.2,11005521920,17.2,0.0,100.0,0.0,100.0,17.4125
13.5,8,16,8.2,11000987648,17.2,0.0,100.0,0.0,100.0,21.181249999999995
16.0,8,16,8.2,11003326464,17.2,0.0,100.0,0.0,100.0,15.712499999999999
20.0,8,16,8.2,11003420672,17.2,0.0,100.0,0.0,100.0,18.9125
16.2,8,16,8.2,11006984192,17.2,0.0,100.0,0.0,100.0,16.006249999999998
6.6,8,16,8.2,10972008448,17.2,0.0,100.0,0.0,100.0,2.4625
11.3,8,16,8.2,10975117312,17.2,0.0,100.0,0.0,100.0,2.4937500000000004
16.3,8,16,8.2,10977513472,17.2,0.0,100.0,0.0,100.0,3.6437500000000003
3.1,8,16,8.2,10999504896,17.2,0.0,100.0,0.0,100.0,2.0
21.5,8,16,8.2,11006214144,17.2,0.0,100.0,0.0,100.0,19.825
14.9,8,16,8.2,11000131584,17.2,0.0,100.0,0.0,100.0,19.2125
15.9,8,16,8.2,11035840512,17.3,0.0,100.0,0.0,100.0,18.318750000000005
17.3,8,16,8.2,11037061120,17.3,0.0,100.0,0.0,100.0,17.450000000000003
14.7,8,16,8.2,11028377600,17.3,0.0,100.0,0.0,100.0,15.556249999999999
16.3,8,16,8.2,11039006720,17.3,0.0,100.0,0.0,100.0,13.337499999999997
21.1,8,16,8.2,11016208384,17.3,0.0,100.0,0.0,100.0,19.5375
22.1,8,16,8.2,11013214208,17.2,0.0,100.0,0.0,100.0,18.268750000000004
16.7,8,16,8.2,10999447552,17.2,0.0,100.0,0.0,100.0,17.56875
15.8,8,16,8.2,11011485696,17.2,0.0,100.0,0.0,100.0,14.093749999999998
15.6,8,16,8.2,11007918080,17.2,0.0,100.0,0.0,100.0,18.650000000000002
15.3,8,16,8.2,10982969344,17.2,0.0,100.0,0.0,100.0,16.168750000000003
19.7,8,16,8.2,10982944768,17.2,0.0,100.0,0.0,100.0,22.962500000000002
15.8,8,16,8.2,10983428096,17.2,0.0,100.0,0.0,100.0,20.706249999999994
16.0,8,16,8.2,10970570752,17.2,0.0,100.0,0.0,100.0,19.362499999999997
20.5,8,16,8.2,10984337408,17.2,0.0,100.0,0.0,100.0,22.543750000000003
15.8,8,16,8.2,10974023680,17.2,0.0,100.0,0.0,100.0,16.38125
18.7,8,16,8.2,11011567616,17.2,0.0,100.0,0.0,100.0,16.28125
21.9,8,16,8.2,11016208384,17.3,0.0,100.0,0.0,100.0,17.21875
15.8,8,16,8.2,11011629056,17.2,0.0,100.0,0.0,100.0,17.23125
16.7,8,16,8.2,11013787648,17.2,0.0,100.0,0.0,100.0,16.268749999999997
13.0,8,16,8.2,11007397888,17.2,0.0,100.0,0.0,100.0,14.043749999999998
17.3,8,16,8.2,11015090176,17.3,0.0,100.0,0.0,100.0,17.41875
14.4,8,16,8.2,11008114688,17.2,0.0,100.0,0.0,100.0,19.987499999999997
20.8,8,16,8.2,11000827904,17.2,0.0,100.0,0.0,100.0,21.7875
17.4,8,16,8.2,10994884608,17.2,0.0,100.0,0.0,100.0,14.843749999999996
11.5,8,16,8.2,11023822848,17.3,0.0,100.0,0.0,100.0,18.575
18.2,8,16,8.2,10988548096,17.2,0.0,100.0,0.0,100.0,17.45
11.9,8,16,8.2,10987294720,17.2,0.0,100.0,0.0,100.0,17.91875
16.6,8,16,8.2,10986647552,17.2,0.0,100.0,0.0,100.0,16.268749999999997
20.0,8,16,8.2,10996719616,17.2,0.0,100.0,0.0,100.0,23.45625
17.2,8,16,8.2,11003088896,17.2,0.0,100.0,0.0,100.0,18.112499999999997
17.3,8,16,8.2,11002929152,17.2,0.0,100.0,0.0,100.0,14.65625
17.7,8,16,8.2,10982334464,17.2,0.0,100.0,0.0,100.0,17.03125
17.7,8,16,8.2,10986409984,17.2,0.0,100.0,0.0,100.0,18.618750000000002
25.1,8,16,8.2,11014475776,17.3,0.0,100.0,0.0,100.0,13.937499999999998
21.5,8,16,8.2,11024814080,17.3,0.0,100.0,0.0,100.0,22.71875
15.5,8,16,8.2,11014008832,17.2,0.0,100.0,0.0,100.0,19.381250000000005
15.0,8,16,8.2,11016765440,17.3,0.0,100.0,0.0,100.0,20.0375
20.9,8,16,8.2,11042992128,17.3,0.0,100.0,0.0,100.0,20.124999999999993
20.7,8,16,8.2,11041460224,17.3,0.0,100.0,0.0,100.0,20.35625
17.1,8,16,8.2,11009187840,17.2,0.0,100.0,0.0,100.0,23.037500000000005
20.1,8,16,8.2,11021414400,17.3,0.0,100.0,0.0,100.0,22.543749999999996
21.3,8,16,8.2,11008643072,17.2,0.0,100.0,0.0,100.0,20.437500000000004
19.7,8,16,8.2,11019792384,17.3,0.0,100.0,0.0,100.0,13.037499999999998
17.4,8,16,8.2,11017826304,17.3,0.0,100.0,0.0,100.0,16.49375
20.7,8,16,8.2,11014217728,17.2,0.0,100.0,0.0,100.0,17.499999999999996
17.8,8,16,8.2,11022540800,17.3,0.0,100.0,0.0,100.0,17.6875
21.0,8,16,8.2,11012542464,17.2,0.0,100.0,0.0,100.0,21.925
19.3,8,16,8.2,11016507392,17.3,0.0,100.0,0.0,100.0,19.793750000000003
20.3,8,16,8.2,11006050304,17.2,0.0,100.0,0.0,100.0,18.724999999999998
21.2,8,16,8.2,11004239872,17.2,0.0,100.0,0.0,100.0,21.412499999999998
21.3,8,16,8.2,11005423616,17.2,0.0,100.0,0.0,100.0,28.0875
20.1,8,16,8.2,11034656768,17.3,0.0,100.0,0.0,100.0,20.512500000000003
21.0,8,16,8.2,11056173056,17.3,0.0,100.0,0.0,100.0,24.25
19.7,8,16,8.2,11056181248,17.3,0.0,100.0,0.0,100.0,16.74375
17.6,8,16,8.2,11054145536,17.3,0.0,100.0,0.0,100.0,15.249999999999998
21.1,8,16,8.2,11064672256,17.3,0.0,100.0,0.0,100.0,16.074999999999996
17.7,8,16,8.2,11057049600,17.3,0.0,100.0,0.0,100.0,16.21875
18.9,8,16,8.2,11067113472,17.3,1.910828025477707,98.08917197452229,1.2396694214876034,98.7603305785124,16.143749999999997
22.2,8,16,8.2,11087626240,17.4,0.0,100.0,0.0,100.0,17.724999999999994
17.8,8,16,8.2,11067695104,17.3,0.0,100.0,0.0,100.0,16.756249999999994
14.7,8,16,8.2,11067015168,17.3,8.837209302325581,91.16279069767442,13.758389261744966,86.24161073825503,16.81875
14.9,8,16,8.2,11065589760,17.3,0.0,100.0,0.0,100.0,19.9375
21.2,8,16,8.2,11077083136,17.3,0.0,100.0,0.0,100.0,20.312499999999996
17.7,8,16,8.2,11055661056,17.3,0.0,100.0,0.0,100.0,19.618750000000006
25.3,8,16,8.2,11050926080,17.3,0.0,100.0,0.0,100.0,19.45
18.4,8,16,8.2,11057328128,17.3,0.0,100.0,0.0,100.0,16.15
17.1,8,16,8.2,11058634752,17.3,0.0,100.0,0.0,100.0,15.575
12.6,8,16,8.2,11031998464,17.3,0.0,100.0,0.0,100.0,17.0
11.5,8,16,8.2,11029389312,17.3,0.0,100.0,0.0,100.0,16.181250000000002
14.9,8,16,8.2,11056119808,17.3,0.0,100.0,0.0,100.0,14.00625
21.1,8,16,8.2,11057876992,17.3,0.0,100.0,0.0,100.0,18.25
15.4,8,16,8.2,11049803776,17.3,0.0,100.0,0.0,100.0,19.737500000000004
17.9,8,16,8.2,11047301120,17.3,1.8181818181818181,98.18181818181819,0.8602150537634409,99.13978494623656,17.781249999999996
16.9,8,16,8.2,11083583488,17.4,0.0,100.0,0.0,100.0,18.093749999999996
17.0,8,16,8.2,11078426624,17.3,0.0,100.0,0.0,100.0,15.649999999999999
18.6,8,16,8.2,11073032192,17.3,0.0,100.0,0.0,100.0,20.531249999999996
27.5,8,16,8.2,11085651968,17.4,0.0,100.0,0.0,100.0,20.96875
17.1,8,16,8.2,11054231552,17.3,0.0,100.0,0.0,100.0,16.012499999999996
14.9,8,16,8.2,11052879872,17.3,0.0,100.0,0.0,100.0,14.893749999999999
17.8,8,16,8.2,11055833088,17.3,0.0,100.0,0.0,100.0,19.08125
15.1,8,16,8.2,11063386112,17.3,0.0,100.0,0.0,100.0,17.743750000000002
17.8,8,16,8.2,11042529280,17.3,0.0,100.0,0.0,100.0,17.08125
19.0,8,16,8.2,11049287680,17.3,0.0,100.0,0.0,100.0,24.756249999999994
18.8,8,16,8.2,11043991552,17.3,0.0,100.0,0.0,100.0,14.4625
14.6,8,16,8.2,11047198720,17.3,0.0,100.0,0.0,100.0,13.481250000000001
20.3,8,16,8.2,11029839872,17.3,0.0,100.0,0.0,100.0,19.862500000000004
19.4,8,16,8.2,11031076864,17.3,0.0,100.0,0.0,100.0,17.812499999999996
24.0,8,16,8.2,11064791040,17.3,0.0,100.0,0.0,100.0,20.518750000000004
23.3,8,16,8.2,11070115840,17.3,0.0,100.0,0.0,100.0,20.9375
21.5,8,16,8.2,11066814464,17.3,0.0,100.0,0.0,100.0,20.162499999999998
19.3,8,16,8.2,11069288448,17.3,0.0,100.0,0.0,100.0,19.51875
16.3,8,16,8.2,11101286400,17.4,0.0,100.0,0.0,100.0,16.962500000000002
16.5,8,16,8.2,11100708864,17.4,0.0,100.0,0.0,100.0,16.468749999999996
16.4,8,16,8.2,11098484736,17.4,0.0,100.0,0.0,100.0,22.0
22.3,8,16,8.2,11090075648,17.4,0.0,100.0,0.0,100.0,19.0125
