timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:37.844, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:37.845, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:38.066, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:38.067, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:38.265, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:38.266, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:38.488, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:38.489, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:38.719, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:38.720, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:38.949, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:38.951, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
