timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:23.595, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:23.596, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:23.850, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:23.851, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:24.114, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:24.115, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:24.357, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:24.358, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:24.602, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:24.603, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:24.833, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:24.835, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:25.070, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:25.071, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:25.303, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:25.304, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:25.554, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:25.555, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:25.779, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:25.780, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:26.013, GeForce RTX 2080 Ti, P8, 43, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:26.014, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:26.242, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:26.243, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
