NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          10h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          10h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          10h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          10h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          10h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          10h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          10h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          10h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          10h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          11h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          11h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          11h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          11h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          11h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
inference-deployment-b8bcbb89d-zvp4f   1/1     Running   0          11h   10.233.69.234   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-998h8   1/1     Running   0          9h    10.233.69.34    node-02   <none>           <none>
