cpu_usage,cpu_core_count,cpu_thread_count,disk_utilization,memory_usage_bytes,memory_utilization,percent_disk_reads,percent_disk_writes,percent_disk_read_bytes,percent_disk_write_bytes,average_cpu_utilization_by_threads
2.1,8,16,8.2,5540421632,9.1,0.0,100.0,0.0,100.0,3.0
7.1,8,16,8.2,5544116224,9.1,0.0,100.0,0.0,100.0,13.049999999999995
16.4,8,16,8.2,5542572032,9.1,0.0,100.0,0.0,100.0,15.756249999999998
21.1,8,16,8.2,5548572672,9.1,0.0,100.0,0.0,100.0,13.699999999999998
16.4,8,16,8.2,5537636352,9.1,0.0,100.0,0.0,100.0,13.61875
21.0,8,16,8.2,5545127936,9.1,0.0,100.0,0.0,100.0,18.21875
18.4,8,16,8.2,6085115904,9.9,2.6143790849673203,97.38562091503267,30.136986301369863,69.86301369863014,14.06875
15.7,8,16,8.2,7433932800,11.9,0.0,100.0,0.0,100.0,13.83125
20.3,8,16,8.2,8803299328,13.9,0.0,100.0,0.0,100.0,17.6625
15.3,8,16,8.2,9295421440,14.7,0.0,100.0,0.0,100.0,18.75
18.2,8,16,8.2,9308237824,14.7,0.0,100.0,0.0,100.0,16.63125
19.9,8,16,8.2,9317560320,14.7,0.0,100.0,0.0,100.0,18.850000000000005
15.9,8,16,8.2,9306267648,14.7,0.0,100.0,0.0,100.0,14.249999999999998
19.8,8,16,8.2,9301602304,14.7,0.0,100.0,0.0,100.0,21.8
25.6,8,16,8.2,9320988672,14.7,0.0,100.0,0.0,100.0,14.593750000000002
18.7,8,16,8.2,9303711744,14.7,0.0,100.0,0.0,100.0,19.562500000000004
18.6,8,16,8.2,9359155200,14.8,0.0,100.0,0.0,100.0,12.374999999999998
23.3,8,16,8.2,9351819264,14.8,0.0,100.0,0.0,100.0,20.893749999999997
17.2,8,16,8.2,9360609280,14.8,0.0,100.0,0.0,100.0,12.318749999999998
16.9,8,16,8.2,9363156992,14.8,0.0,100.0,0.0,100.0,18.58125
