NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          4m45s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          4m49s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          4m52s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          4m55s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          4m58s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE    IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          5m2s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE    IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          5m5s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE    IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          5m8s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          5m12s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          5m15s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          5m19s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          5m22s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          5m25s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          5m28s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   1/1     Running   1          5m32s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          5m35s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          5m38s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          5m41s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          5m45s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          5m48s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          5m51s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          5m55s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          5m58s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE    IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          6m2s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE    IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          6m5s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE    IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          6m8s   10.233.88.94   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-mtj54   0/1     Running   1          6m11s   10.233.88.94   dgx-a100   <none>           <none>
