cpu_usage,cpu_core_count,cpu_thread_count,disk_utilization,memory_usage_bytes,memory_utilization,percent_disk_reads,percent_disk_writes,percent_disk_read_bytes,percent_disk_write_bytes,average_cpu_utilization_by_threads
1.1,128,256,15.2,43121602560,4.5,0.0,100.0,0.0,100.0,1.047265625
1.0,128,256,15.2,43080884224,4.5,0.0,100.0,0.0,100.0,0.9515625000000001
2.0,128,256,15.2,43097538560,4.5,13.043478260869565,86.95652173913044,5.464625131995776,94.53537486800423,0.581640625
0.8,128,256,15.2,43106881536,4.5,0.0,100.0,0.0,100.0,0.9578125
1.9,128,256,15.2,43093995520,4.5,0.0,100.0,0.0,100.0,1.298828125
1.0,128,256,15.2,43106217984,4.5,0.0,100.0,0.0,100.0,2.271875
1.3,128,256,15.2,43868250112,4.6,0.0,100.0,0.0,100.0,1.65625
2.2,128,256,15.2,44581040128,4.6,0.0,100.0,0.0,100.0,4.790234375000002
4.2,128,256,15.2,45782077440,4.7,0.0,100.0,0.0,100.0,0.7320312499999999
1.0,128,256,15.2,45969227776,4.7,0.0,100.0,0.0,100.0,1.6140625
15.4,128,256,15.2,47963979776,4.9,10.16949152542373,89.83050847457628,4.241803278688525,95.75819672131148,2.5257812499999996
2.1,128,256,15.2,50190393344,5.1,0.0,100.0,0.0,100.0,3.336328124999999
2.2,128,256,15.2,52073771008,5.3,0.0,100.0,0.0,100.0,1.696875
5.3,128,256,15.2,48353951744,5.0,0.0,100.0,0.0,100.0,8.971875000000004
8.9,128,256,15.2,51763523584,5.3,0.0,100.0,0.0,100.0,10.907421875000013
6.8,128,256,15.2,60237602816,6.1,0.0,100.0,0.0,100.0,3.2453125
3.2,128,256,15.2,62691225600,6.3,0.0,100.0,0.0,100.0,3.775390625
4.5,128,256,15.2,62866337792,6.3,0.0,100.0,0.0,100.0,9.105859375000001
6.7,128,256,15.2,73718489088,7.3,0.0,100.0,0.0,100.0,2.6046875
3.2,128,256,15.2,63318781952,6.4,0.0,100.0,0.0,100.0,6.366406249999999
6.6,128,256,15.2,51908550656,5.3,2.955665024630542,97.04433497536947,14.195764167143674,85.80423583285632,10.251171875000002
4.0,128,256,15.2,54395871232,5.5,0.0,100.0,0.0,100.0,2.3859375000000003
13.1,128,256,15.2,63778897920,6.4,0.0,100.0,0.0,100.0,4.548828125000001
5.2,128,256,15.2,72622366720,7.2,0.0,100.0,0.0,100.0,4.785937499999999
3.9,128,256,15.2,73706995712,7.3,0.0,100.0,0.0,100.0,4.41640625
3.0,128,256,15.2,60187070464,6.1,0.0,100.0,0.0,100.0,4.193359374999999
3.0,128,256,15.2,54949113856,5.6,0.0,100.0,0.0,100.0,1.8386718749999997
2.1,128,256,15.2,52428644352,5.4,0.0,100.0,0.0,100.0,2.191796875
1.0,128,256,15.2,47400427520,4.9,0.0,100.0,0.0,100.0,3.5292968749999996
2.4,128,256,15.2,43395215360,4.5,0.0,100.0,0.0,100.0,2.7898437499999997
1.2,128,256,15.2,43318484992,4.5,12.225705329153605,87.7742946708464,5.417429992148652,94.58257000785136,1.8984375
0.6,128,256,15.2,43184017408,4.5,0.0,100.0,0.0,100.0,2.3351562499999994
0.6,128,256,15.2,43227701248,4.5,0.0,100.0,0.0,100.0,1.02578125
1.2,128,256,15.2,43192176640,4.5,0.0,100.0,0.0,100.0,0.558984375
1.0,128,256,15.2,43210006528,4.5,7.583774250440917,92.41622574955908,3.324523577688135,96.67547642231187,2.0078125
