timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 16:37:58.221, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 16:37:58.223, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 16:37:58.224, A100-SXM4-40GB, P0, 39, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 16:37:58.226, A100-SXM4-40GB, P0, 43, 69 %, 34 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 16:37:58.227, A100-SXM4-40GB, P0, 39, 39 %, 14 %, 40537 MiB, 18323 MiB, 22214 MiB
2023/12/07 16:37:58.229, A100-SXM4-40GB, P0, 46, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 16:37:58.231, A100-SXM4-40GB, P0, 52, 52 %, 35 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 16:37:58.232, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 16:38:01.469, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 16:38:01.471, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 16:38:01.473, A100-SXM4-40GB, P0, 51, 99 %, 42 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 16:38:01.475, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 16:38:01.476, A100-SXM4-40GB, P0, 39, 40 %, 14 %, 40537 MiB, 18323 MiB, 22214 MiB
2023/12/07 16:38:01.478, A100-SXM4-40GB, P0, 57, 100 %, 19 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 16:38:01.479, A100-SXM4-40GB, P0, 52, 47 %, 32 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 16:38:01.481, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 16:38:04.703, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 16:38:04.704, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 16:38:04.706, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 16:38:04.708, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 16:38:04.709, A100-SXM4-40GB, P0, 39, 40 %, 15 %, 40537 MiB, 18323 MiB, 22214 MiB
2023/12/07 16:38:04.712, A100-SXM4-40GB, P0, 46, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 16:38:04.715, A100-SXM4-40GB, P0, 52, 52 %, 35 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 16:38:04.726, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 16:38:08.004, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 16:38:08.006, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 16:38:08.008, A100-SXM4-40GB, P0, 43, 29 %, 16 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 16:38:08.010, A100-SXM4-40GB, P0, 36, 24 %, 14 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 16:38:08.011, A100-SXM4-40GB, P0, 39, 40 %, 15 %, 40537 MiB, 18323 MiB, 22214 MiB
2023/12/07 16:38:08.013, A100-SXM4-40GB, P0, 46, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 16:38:08.014, A100-SXM4-40GB, P0, 52, 53 %, 35 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 16:38:08.016, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 16:38:11.245, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 16:38:11.246, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 16:38:11.248, A100-SXM4-40GB, P0, 41, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 16:38:11.250, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 16:38:11.251, A100-SXM4-40GB, P0, 39, 41 %, 17 %, 40537 MiB, 18323 MiB, 22214 MiB
2023/12/07 16:38:11.253, A100-SXM4-40GB, P0, 44, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 16:38:11.255, A100-SXM4-40GB, P0, 54, 100 %, 13 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 16:38:11.257, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 16:38:14.490, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 16:38:14.492, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 16:38:14.494, A100-SXM4-40GB, P0, 39, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 16:38:14.496, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 16:38:14.497, A100-SXM4-40GB, P0, 39, 41 %, 17 %, 40537 MiB, 18323 MiB, 22214 MiB
2023/12/07 16:38:14.499, A100-SXM4-40GB, P0, 44, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 16:38:14.501, A100-SXM4-40GB, P0, 51, 47 %, 29 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 16:38:14.502, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 16:38:17.778, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 16:38:17.785, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 16:38:17.788, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 16:38:17.801, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 16:38:17.817, A100-SXM4-40GB, P0, 39, 36 %, 13 %, 40537 MiB, 18323 MiB, 22214 MiB
2023/12/07 16:38:17.825, A100-SXM4-40GB, P0, 43, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 16:38:17.835, A100-SXM4-40GB, P0, 51, 48 %, 30 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 16:38:17.842, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 16:38:21.077, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 16:38:21.079, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
