timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 15:01:28.847, A100-SXM4-40GB, P0, 31, 40 %, 14 %, 40537 MiB, 15459 MiB, 25078 MiB
2023/12/07 15:01:28.848, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 15:01:28.850, A100-SXM4-40GB, P0, 39, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 15:01:28.852, A100-SXM4-40GB, P0, 37, 36 %, 15 %, 40537 MiB, 2250 MiB, 38287 MiB
2023/12/07 15:01:28.853, A100-SXM4-40GB, P0, 53, 98 %, 50 %, 40537 MiB, 14415 MiB, 26122 MiB
2023/12/07 15:01:28.855, A100-SXM4-40GB, P0, 44, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 15:01:28.857, A100-SXM4-40GB, P0, 50, 50 %, 32 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 15:01:28.858, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 15:01:32.079, A100-SXM4-40GB, P0, 31, 40 %, 14 %, 40537 MiB, 15459 MiB, 25078 MiB
2023/12/07 15:01:32.081, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 15:01:32.083, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 15:01:32.089, A100-SXM4-40GB, P0, 37, 37 %, 15 %, 40537 MiB, 2250 MiB, 38287 MiB
2023/12/07 15:01:32.091, A100-SXM4-40GB, P0, 53, 98 %, 50 %, 40537 MiB, 14415 MiB, 26122 MiB
2023/12/07 15:01:32.093, A100-SXM4-40GB, P0, 44, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 15:01:32.095, A100-SXM4-40GB, P0, 50, 50 %, 33 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 15:01:32.100, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 15:01:35.325, A100-SXM4-40GB, P0, 32, 39 %, 14 %, 40537 MiB, 15459 MiB, 25078 MiB
2023/12/07 15:01:35.327, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 15:01:35.329, A100-SXM4-40GB, P0, 40, 29 %, 5 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 15:01:35.330, A100-SXM4-40GB, P0, 43, 52 %, 22 %, 40537 MiB, 2250 MiB, 38287 MiB
2023/12/07 15:01:35.332, A100-SXM4-40GB, P0, 53, 98 %, 50 %, 40537 MiB, 14415 MiB, 26122 MiB
2023/12/07 15:01:35.333, A100-SXM4-40GB, P0, 45, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 15:01:35.335, A100-SXM4-40GB, P0, 50, 51 %, 33 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 15:01:35.341, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 15:01:38.562, A100-SXM4-40GB, P0, 32, 40 %, 15 %, 40537 MiB, 15459 MiB, 25078 MiB
2023/12/07 15:01:38.564, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 15:01:38.566, A100-SXM4-40GB, P0, 39, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 15:01:38.567, A100-SXM4-40GB, P0, 38, 61 %, 25 %, 40537 MiB, 2250 MiB, 38287 MiB
2023/12/07 15:01:38.569, A100-SXM4-40GB, P0, 53, 98 %, 50 %, 40537 MiB, 14415 MiB, 26122 MiB
2023/12/07 15:01:38.571, A100-SXM4-40GB, P0, 54, 99 %, 35 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 15:01:38.573, A100-SXM4-40GB, P0, 50, 47 %, 31 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 15:01:38.574, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 15:01:41.797, A100-SXM4-40GB, P0, 32, 34 %, 12 %, 40537 MiB, 15459 MiB, 25078 MiB
2023/12/07 15:01:41.798, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 15:01:41.800, A100-SXM4-40GB, P0, 39, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 15:01:41.802, A100-SXM4-40GB, P0, 38, 34 %, 13 %, 40537 MiB, 2250 MiB, 38287 MiB
2023/12/07 15:01:41.803, A100-SXM4-40GB, P0, 53, 98 %, 50 %, 40537 MiB, 14415 MiB, 26122 MiB
2023/12/07 15:01:41.805, A100-SXM4-40GB, P0, 48, 84 %, 14 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 15:01:41.807, A100-SXM4-40GB, P0, 50, 52 %, 35 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 15:01:41.808, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 15:01:45.048, A100-SXM4-40GB, P0, 31, 39 %, 13 %, 40537 MiB, 15459 MiB, 25078 MiB
2023/12/07 15:01:45.050, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 15:01:45.052, A100-SXM4-40GB, P0, 39, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 15:01:45.054, A100-SXM4-40GB, P0, 39, 57 %, 22 %, 40537 MiB, 2250 MiB, 38287 MiB
2023/12/07 15:01:45.056, A100-SXM4-40GB, P0, 53, 98 %, 49 %, 40537 MiB, 14415 MiB, 26122 MiB
2023/12/07 15:01:45.058, A100-SXM4-40GB, P0, 47, 58 %, 10 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 15:01:45.060, A100-SXM4-40GB, P0, 50, 52 %, 35 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 15:01:45.061, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 15:01:48.283, A100-SXM4-40GB, P0, 31, 40 %, 13 %, 40537 MiB, 15459 MiB, 25078 MiB
2023/12/07 15:01:48.285, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 15:01:48.286, A100-SXM4-40GB, P0, 49, 86 %, 45 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 15:01:48.288, A100-SXM4-40GB, P0, 39, 36 %, 14 %, 40537 MiB, 2250 MiB, 38287 MiB
2023/12/07 15:01:48.290, A100-SXM4-40GB, P0, 53, 98 %, 49 %, 40537 MiB, 14415 MiB, 26122 MiB
2023/12/07 15:01:48.291, A100-SXM4-40GB, P0, 52, 100 %, 18 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 15:01:48.293, A100-SXM4-40GB, P0, 50, 52 %, 35 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 15:01:48.295, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 15:01:51.520, A100-SXM4-40GB, P0, 31, 40 %, 13 %, 40537 MiB, 15459 MiB, 25078 MiB
2023/12/07 15:01:51.522, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 15:01:51.524, A100-SXM4-40GB, P0, 43, 100 %, 18 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 15:01:51.525, A100-SXM4-40GB, P0, 38, 36 %, 14 %, 40537 MiB, 2250 MiB, 38287 MiB
2023/12/07 15:01:51.527, A100-SXM4-40GB, P0, 53, 97 %, 49 %, 40537 MiB, 14415 MiB, 26122 MiB
2023/12/07 15:01:51.529, A100-SXM4-40GB, P0, 50, 100 %, 16 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 15:01:51.530, A100-SXM4-40GB, P0, 50, 53 %, 36 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 15:01:51.532, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 15:01:54.819, A100-SXM4-40GB, P0, 32, 40 %, 14 %, 40537 MiB, 15459 MiB, 25078 MiB
2023/12/07 15:01:54.821, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 15:01:54.823, A100-SXM4-40GB, P0, 39, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 15:01:54.825, A100-SXM4-40GB, P0, 38, 36 %, 14 %, 40537 MiB, 2250 MiB, 38287 MiB
2023/12/07 15:01:54.827, A100-SXM4-40GB, P0, 51, 99 %, 51 %, 40537 MiB, 14415 MiB, 26122 MiB
2023/12/07 15:01:54.828, A100-SXM4-40GB, P0, 46, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 15:01:54.830, A100-SXM4-40GB, P0, 52, 35 %, 23 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 15:01:54.831, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 15:01:58.053, A100-SXM4-40GB, P0, 32, 40 %, 14 %, 40537 MiB, 15459 MiB, 25078 MiB
2023/12/07 15:01:58.055, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 15:01:58.057, A100-SXM4-40GB, P0, 39, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
