timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:16:45.518, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:16:45.520, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:16:45.522, A100-SXM4-40GB, P0, 44, 6 %, 5 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:16:45.523, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:16:45.525, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 35396 MiB, 5141 MiB
2023/12/07 19:16:45.527, A100-SXM4-40GB, P0, 44, 23 %, 10 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:16:45.535, A100-SXM4-40GB, P0, 48, 47 %, 29 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:16:45.538, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:16:48.803, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:16:48.805, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:16:48.806, A100-SXM4-40GB, P0, 47, 99 %, 30 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:16:48.808, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:16:48.810, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 35396 MiB, 5141 MiB
2023/12/07 19:16:48.812, A100-SXM4-40GB, P0, 46, 90 %, 35 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:16:48.813, A100-SXM4-40GB, P0, 48, 48 %, 31 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:16:48.815, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:16:52.044, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:16:52.046, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:16:52.048, A100-SXM4-40GB, P0, 40, 65 %, 24 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:16:52.050, A100-SXM4-40GB, P0, 37, 54 %, 25 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:16:52.055, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 35396 MiB, 5141 MiB
2023/12/07 19:16:52.057, A100-SXM4-40GB, P0, 51, 100 %, 23 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:16:52.059, A100-SXM4-40GB, P0, 48, 49 %, 32 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:16:52.060, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:16:55.296, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
