timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 18:29:57.188, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 18:29:57.194, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 18:29:57.200, A100-SXM4-40GB, P0, 48, 100 %, 19 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 18:29:57.206, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 18:29:57.211, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 35396 MiB, 5141 MiB
2023/12/07 18:29:57.221, A100-SXM4-40GB, P0, 44, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 18:29:57.235, A100-SXM4-40GB, P0, 50, 47 %, 30 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 18:29:57.246, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 18:30:00.529, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 18:30:00.531, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 18:30:00.533, A100-SXM4-40GB, P0, 38, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 18:30:00.534, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 18:30:00.536, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 35396 MiB, 5141 MiB
2023/12/07 18:30:00.538, A100-SXM4-40GB, P0, 52, 73 %, 33 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 18:30:00.540, A100-SXM4-40GB, P0, 50, 45 %, 29 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 18:30:00.541, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 18:30:03.781, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 18:30:03.783, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 18:30:03.785, A100-SXM4-40GB, P0, 38, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 18:30:03.786, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 18:30:03.788, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 35396 MiB, 5141 MiB
2023/12/07 18:30:03.790, A100-SXM4-40GB, P0, 47, 65 %, 13 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 18:30:03.792, A100-SXM4-40GB, P0, 50, 50 %, 32 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 18:30:03.794, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 18:30:07.037, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 18:30:07.042, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 18:30:07.044, A100-SXM4-40GB, P0, 39, 43 %, 24 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 18:30:07.046, A100-SXM4-40GB, P0, 35, 13 %, 9 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 18:30:07.048, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 35396 MiB, 5141 MiB
2023/12/07 18:30:07.050, A100-SXM4-40GB, P0, 44, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 18:30:07.052, A100-SXM4-40GB, P0, 50, 50 %, 32 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 18:30:07.054, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 18:30:10.277, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 18:30:10.279, A100-SXM4-40GB, P0, 26, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 18:30:10.281, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 18:30:10.283, A100-SXM4-40GB, P0, 34, 55 %, 34 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 18:30:10.284, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 35396 MiB, 5141 MiB
2023/12/07 18:30:10.286, A100-SXM4-40GB, P0, 54, 100 %, 22 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 18:30:10.304, A100-SXM4-40GB, P0, 50, 50 %, 33 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 18:30:10.305, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
