timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:10.080, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:10.082, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:10.084, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:10.088, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:05:10.092, A100-SXM4-40GB, P0, 47, 66 %, 32 %, 40537 MiB, 16330 MiB, 24207 MiB
2023/12/07 19:05:10.094, A100-SXM4-40GB, P0, 43, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:05:10.095, A100-SXM4-40GB, P0, 49, 49 %, 32 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:05:10.097, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:13.324, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:13.326, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:13.328, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:13.329, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:05:13.331, A100-SXM4-40GB, P0, 46, 70 %, 50 %, 40537 MiB, 16330 MiB, 24207 MiB
2023/12/07 19:05:13.333, A100-SXM4-40GB, P0, 55, 100 %, 18 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:05:13.334, A100-SXM4-40GB, P0, 49, 50 %, 33 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:05:13.336, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:16.558, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:16.560, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:16.562, A100-SXM4-40GB, P0, 40, 85 %, 14 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:16.563, A100-SXM4-40GB, P0, 31, 43 %, 17 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:05:16.565, A100-SXM4-40GB, P0, 47, 80 %, 66 %, 40537 MiB, 16330 MiB, 24207 MiB
2023/12/07 19:05:16.566, A100-SXM4-40GB, P0, 43, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:05:16.568, A100-SXM4-40GB, P0, 49, 51 %, 33 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:05:16.570, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:20.011, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:20.013, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:20.015, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:20.016, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:05:20.018, A100-SXM4-40GB, P0, 41, 0 %, 0 %, 40537 MiB, 16330 MiB, 24207 MiB
2023/12/07 19:05:20.020, A100-SXM4-40GB, P0, 54, 100 %, 18 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:05:20.021, A100-SXM4-40GB, P0, 49, 51 %, 34 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:05:20.023, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:23.241, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:23.245, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:23.248, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:23.252, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:05:23.255, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 16330 MiB, 24207 MiB
2023/12/07 19:05:23.258, A100-SXM4-40GB, P0, 43, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:05:23.263, A100-SXM4-40GB, P0, 49, 52 %, 34 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:05:23.269, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:26.502, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:26.504, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:26.505, A100-SXM4-40GB, P0, 48, 100 %, 18 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:26.507, A100-SXM4-40GB, P0, 31, 42 %, 17 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:05:26.509, A100-SXM4-40GB, P0, 39, 0 %, 0 %, 40537 MiB, 16330 MiB, 24207 MiB
2023/12/07 19:05:26.511, A100-SXM4-40GB, P0, 53, 100 %, 17 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:05:26.512, A100-SXM4-40GB, P0, 49, 52 %, 35 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:05:26.514, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:29.781, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:29.783, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:29.785, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:29.786, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:05:29.788, A100-SXM4-40GB, P0, 39, 0 %, 0 %, 40537 MiB, 16330 MiB, 24207 MiB
2023/12/07 19:05:29.789, A100-SXM4-40GB, P0, 43, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:05:29.791, A100-SXM4-40GB, P0, 49, 53 %, 35 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:05:29.793, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:33.022, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:33.024, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:33.026, A100-SXM4-40GB, P0, 46, 99 %, 39 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:33.027, A100-SXM4-40GB, P0, 32, 58 %, 26 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:05:33.029, A100-SXM4-40GB, P0, 38, 0 %, 0 %, 40537 MiB, 16330 MiB, 24207 MiB
2023/12/07 19:05:33.031, A100-SXM4-40GB, P0, 51, 99 %, 24 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:05:33.032, A100-SXM4-40GB, P0, 49, 52 %, 35 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:05:33.034, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:36.281, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:36.283, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:36.288, A100-SXM4-40GB, P0, 48, 100 %, 18 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:36.291, A100-SXM4-40GB, P0, 31, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:05:36.292, A100-SXM4-40GB, P0, 38, 0 %, 0 %, 40537 MiB, 35396 MiB, 5141 MiB
2023/12/07 19:05:36.294, A100-SXM4-40GB, P0, 42, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:05:36.296, A100-SXM4-40GB, P0, 49, 52 %, 34 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:05:36.297, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:39.547, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:39.549, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:39.554, A100-SXM4-40GB, P0, 39, 46 %, 7 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:39.555, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5653 MiB, 34884 MiB
2023/12/07 19:05:39.557, A100-SXM4-40GB, P0, 38, 0 %, 0 %, 40537 MiB, 35396 MiB, 5141 MiB
2023/12/07 19:05:39.559, A100-SXM4-40GB, P0, 43, 0 %, 0 %, 40537 MiB, 4957 MiB, 35580 MiB
2023/12/07 19:05:39.561, A100-SXM4-40GB, P0, 49, 43 %, 29 %, 40537 MiB, 3060 MiB, 37477 MiB
2023/12/07 19:05:39.563, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/07 19:05:42.779, A100-SXM4-40GB, P0, 27, 0 %, 0 %, 40537 MiB, 36684 MiB, 3853 MiB
2023/12/07 19:05:42.784, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 34132 MiB, 6405 MiB
2023/12/07 19:05:42.786, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 5727 MiB, 34810 MiB
2023/12/07 19:05:42.788, A100-SXM4-40GB, P0, 32, 59 %, 26 %, 40537 MiB, 5653 MiB, 34884 MiB
