timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:21.168, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:21.170, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:21.171, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:21.174, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:21.176, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:21.178, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:21.179, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:21.181, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:24.524, A100-SXM4-40GB, P0, 30, 42 %, 24 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:24.526, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:24.528, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:24.531, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:24.535, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:24.536, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:24.538, A100-SXM4-40GB, P0, 33, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:24.539, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:27.779, A100-SXM4-40GB, P0, 30, 45 %, 25 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:27.781, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:27.783, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:27.785, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:27.786, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:27.788, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:27.790, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:27.791, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:31.026, A100-SXM4-40GB, P0, 31, 47 %, 26 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:31.028, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:31.030, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:31.032, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:31.033, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:31.035, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:31.037, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:31.038, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:34.282, A100-SXM4-40GB, P0, 31, 48 %, 27 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:34.284, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:34.286, A100-SXM4-40GB, P0, 32, 77 %, 36 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:34.288, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:34.289, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:34.291, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:34.293, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:34.294, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:37.538, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:37.539, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:37.541, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:37.543, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:37.545, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:37.546, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:37.548, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:37.550, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:40.823, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:40.824, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:40.826, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:40.828, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:40.830, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:40.831, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:40.833, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:40.835, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:44.089, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:44.091, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:44.092, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:44.094, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:44.095, A100-SXM4-40GB, P0, 41, 89 %, 43 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:44.102, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:44.104, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:44.106, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:47.363, A100-SXM4-40GB, P0, 30, 41 %, 24 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:47.365, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:47.367, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:47.368, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:47.370, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:47.371, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:47.373, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:47.375, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:50.652, A100-SXM4-40GB, P0, 30, 44 %, 25 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:50.654, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:50.655, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:50.657, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:50.660, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:50.661, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:50.663, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:50.665, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:53.959, A100-SXM4-40GB, P0, 31, 45 %, 26 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:53.961, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:53.963, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:53.965, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:53.966, A100-SXM4-40GB, P0, 40, 45 %, 19 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:53.968, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:53.969, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:53.971, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:34:57.241, A100-SXM4-40GB, P0, 31, 47 %, 26 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:34:57.243, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:34:57.244, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:34:57.246, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:34:57.248, A100-SXM4-40GB, P0, 37, 0 %, 0 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:34:57.250, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:34:57.251, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:34:57.253, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:35:00.538, A100-SXM4-40GB, P0, 31, 49 %, 27 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:35:00.541, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:35:00.542, A100-SXM4-40GB, P0, 30, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:35:00.544, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:35:00.546, A100-SXM4-40GB, P0, 42, 27 %, 11 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:35:00.547, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:35:00.549, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
2023/12/08 20:35:00.551, A100-SXM4-40GB, P0, 28, 0 %, 0 %, 40537 MiB, 20287 MiB, 20250 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/08 20:35:04.290, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 27582 MiB, 12955 MiB
2023/12/08 20:35:04.291, A100-SXM4-40GB, P0, 24, 0 %, 0 %, 40537 MiB, 1774 MiB, 38763 MiB
2023/12/08 20:35:04.293, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 5433 MiB, 35104 MiB
2023/12/08 20:35:04.295, A100-SXM4-40GB, P0, 25, 0 %, 0 %, 40537 MiB, 29990 MiB, 10547 MiB
2023/12/08 20:35:04.297, A100-SXM4-40GB, P0, 43, 29 %, 11 %, 40537 MiB, 3 MiB, 40534 MiB
2023/12/08 20:35:04.298, A100-SXM4-40GB, P0, 29, 0 %, 0 %, 40537 MiB, 40534 MiB, 3 MiB
2023/12/08 20:35:04.300, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 305 MiB, 40232 MiB
