file,train_execution,overall_execution,cpu_usage,gpu_usage,num_train_epochs,learning_rate,per_device_eval_batch_size,per_device_train_batch_size,num_dataset,file_size (bytes)
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:22,0:00:22,"1,5","2,798,407,555",2,0.00010,2,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:19,0:00:22,"5,5","2,798,407,555",2,0.00010,2,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:27,0:00:27,"2,3","2,793,753,624",2,0.00010,2,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:42,0:00:42,"4,1","2,793,753,624",2,0.00010,2,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:10,0:01:10,"1,8","2,791,556,358",2,0.00010,2,2,800,581000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:35,0:00:35,"2,3","2,798,407,555",6,0.00010,2,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:45,0:00:45,2,"2,798,407,555",6,0.00010,2,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:04,0:01:06,"2,1","2,793,753,624",6,0.00010,2,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:48,0:01:48,"11,3","2,793,753,624",6,0.00010,2,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:03:07,0:03:08,"2,5","2,791,556,358",6,0.00010,2,2,800,581001
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:55,0:00:55,"1,8","2,798,407,555",10,0.00010,2,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:13,0:01:14,"2,9","2,798,407,555",10,0.00010,2,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:47,0:01:48,"6,1","2,793,753,624",10,0.00010,2,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:02:51,0:02:51,"15,5","2,793,753,624",10,0.00010,2,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:05:09,0:05:11,"4,8","2,791,556,358",10,0.00010,2,2,800,581002
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:16,0:00:16,"3,2","2,798,407,555",2,0.00010,4,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:19,0:00:19,4,"2,798,407,555",2,0.00010,4,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:27,0:00:27,"4,2","2,793,753,624",2,0.00010,4,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:41,0:00:41,"1,1","2,793,753,624",2,0.00010,4,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:07,0:01:08,"1,2","2,791,556,358",2,0.00010,4,2,800,581003
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:35,0:00:36,"2,1","2,798,407,555",6,0.00010,4,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:44,0:00:45,"3,1","2,798,407,555",6,0.00010,4,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:05,0:01:05,"2,9","2,793,753,624",6,0.00010,4,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:45,0:01:46,"1,6","2,793,753,624",6,0.00010,4,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:03:04,0:03:04,"3,2","2,791,556,358",6,0.00010,4,2,800,581004
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:54,0:00:54,"1,5","2,798,407,555",10,0.00010,4,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:12,0:01:14,1,"2,798,407,555",10,0.00010,4,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:43,0:01:43,"2,2","2,793,753,624",10,0.00010,4,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:02:49,0:02:51,"2,1","2,793,753,624",10,0.00010,4,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:05:04,0:05:04,"4,5","2,791,556,358",10,0.00010,4,2,800,581005
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:17,0:00:17,"4,8","2,798,407,555",2,0.00010,8,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:20,0:00:20,"1,9","2,798,407,555",2,0.00010,8,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:26,0:00:28,"4,5","2,793,753,624",2,0.00010,8,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:39,0:00:40,"1,1","2,793,753,624",2,0.00010,8,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:06,0:01:07,"2,9","2,791,556,358",2,0.00010,8,2,800,581006
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:34,0:00:34,"2,1","2,798,407,555",6,0.00010,8,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:44,0:00:44,2,"2,798,407,555",6,0.00010,8,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:05,0:01:07,"2,1","2,793,753,624",6,0.00010,8,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:44,0:01:45,"2,4","2,793,753,624",6,0.00010,8,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:03:06,0:03:06,"2,1","2,791,556,358",6,0.00010,8,2,800,581007
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:54,0:00:55,"2,5","2,798,407,555",10,0.00010,8,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:08,0:01:08,"3,2","2,798,407,555",10,0.00010,8,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:42,0:01:43,"1,8","2,793,753,624",10,0.00010,8,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:02:50,0:02:50,"6,1","2,793,753,624",10,0.00010,8,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:05:01,0:05:01,"2,1","2,791,556,358",10,0.00010,8,2,800,581008
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:16,0:00:16,"2,5","2,798,407,555",2,0.00010,16,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:19,0:00:19,"6,7","2,798,407,555",2,0.00010,16,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:26,0:00:26,"3,6","2,793,753,624",2,0.00010,16,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:39,0:00:40,"1,1","2,793,753,624",2,0.00010,16,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:07,0:01:07,"12,5","2,791,556,358",2,0.00010,16,2,800,581009
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:35,0:00:36,"1,6","2,798,407,555",6,0.00010,16,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:45,0:00:45,"1,8","2,798,407,555",6,0.00010,16,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:05,0:01:05,"1,8","2,793,753,624",6,0.00010,16,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:44,0:01:45,"2,9","2,793,753,624",6,0.00010,16,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:03:02,0:03:02,"2,6","2,791,556,358",6,0.00010,16,2,800,581010
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:54,0:00:56,"1,2","2,798,407,555",10,0.00010,16,2,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:09,0:01:09,"3,8","2,798,407,555",10,0.00010,16,2,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:42,0:01:42,"2,3","2,793,753,624",10,0.00010,16,2,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:02:50,0:02:50,"4,5","2,793,753,624",10,0.00010,16,2,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:04:57,0:04:57,"2,2","2,791,556,358",10,0.00010,16,2,800,581011
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:14,0:00:15,"1,9","2,802,634,239",2,0.00010,2,4,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:17,0:00:18,"5,2","2,802,634,239",2,0.00010,2,4,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:20,0:00:20,"1,2","2,800,833,702",2,0.00010,2,4,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:29,0:00:29,"1,8","2,800,833,702",2,0.00010,2,4,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:44,0:00:44,"2,3","2,806,155,205",2,0.00010,2,4,800,581012
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:32,0:00:32,"2,9","2,802,634,239",6,0.00010,2,4,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:37,0:00:37,"3,4","2,802,634,239",6,0.00010,2,4,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:48,0:00:50,"1,4","2,800,833,702",6,0.00010,2,4,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:11,0:01:11,"2,8","2,800,833,702",6,0.00010,2,4,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:59,0:02:01,"1,4","2,806,155,205",6,0.00010,2,4,800,581013
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:48,0:00:48,"0,9","2,802,634,239",10,0.00010,2,4,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:55,0:00:55,3,"2,802,634,239",10,0.00010,2,4,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:15,0:01:15,"2,1","2,800,833,702",10,0.00010,2,4,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:58,0:01:58,"1,6","2,800,833,702",10,0.00010,2,4,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:03:21,0:03:21,2,"2,806,155,205",10,0.00010,2,4,800,581014
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:16,0:00:17,"2,1","2,802,634,239",2,0.00010,4,4,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:18,0:00:19,2,"2,802,634,239",2,0.00010,4,4,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:27,0:00:27,"1,3","2,800,833,702",2,0.00010,4,4,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:28,0:00:28,"3,8","2,800,833,702",2,0.00010,4,4,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:43,0:00:45,"3,6","2,806,155,205",2,0.00010,4,4,800,581015
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:35,0:00:35,"4,4","2,802,634,239",6,0.00010,4,4,50,4100
